annot_transcript_id logFC logCPM PValue annot_transcript_name adj_pval illumina_TPM_1 illumina_TPM_2 PacBio_K562_1 PacBio_K562_2
ENST00000315377.4 -13.4177700098004 9.72335924635756 4.26305443257881e-66 NA 1.53849371417337e-61 1525 1594 0 0
ENST00000551150.5 13.0684049256649 9.35305864997969 4.65939678109804e-66 RPLP0-219 1.68152970433047e-61 0 0 1513 464
ENST00000535788.1 -13.4097497751399 9.71538539082394 4.99960564095703e-66 NA 1.80430767976498e-61 1485 1614 0 0
ENST00000504562.1 -9.84044151298871 10.0498157135932 1.05347587486366e-65 RPL37-202 3.80188908479546e-61 1834 2075 2 1
ENST00000399815.2 -10.9898248865975 9.80793331058281 1.17322020612694e-65 IFITM2-201 4.2340344018915e-61 1645 1665 0 1
ENST00000436146.2 -8.85600263866402 10.7210137500978 1.92931368145645e-65 RPL15-209 6.96270014500818e-61 3120 3135 7 3
ENST00000339526.8 -10.8795315986181 9.699033047124 1.02147476825373e-64 GLUL-203 3.68640029115088e-60 1731 1353 0 1
ENST00000645079.1 -13.2281075270616 9.53588419165204 1.79082982029208e-64 NA 6.46292573845209e-60 1375 1363 0 0
ENST00000245857.9 -10.851722982997 9.65632299023778 2.33671147769238e-64 RPL23-201 8.43295805184403e-60 1409 1562 1 0
ENST00000398752.10 9.12027678721612 9.61276226800378 3.38279870446475e-64 ATP5F1A-202 1.22081822445428e-59 3 2 1542 730
ENST00000552361.1 -13.1724310708256 9.4809343642461 5.46750396580142e-64 NA 1.97316750621808e-59 1354 1283 0 0
ENST00000246957.9 9.83243117086782 9.11343499977534 5.53989094893867e-64 TRAP1-201 1.99929124456248e-59 1 1 1106 509
ENST00000309311.6 9.05641128215686 9.55251379212513 1.14125022058041e-63 EEF2-201 4.11865792105264e-59 2 3 1561 646
ENST00000593863.5 -8.88677478059333 10.254908748897 1.64617951644107e-63 RPS19-202 5.94089725688416e-59 2150 2360 5 2
ENST00000456586.5 -10.7507304512435 9.55651602529514 1.74763485954917e-63 RPL37A-206 6.30703944462701e-59 1288 1480 1 0
ENST00000412097.5 -13.1080703282163 9.41736459510502 1.97377392443307e-63 NA 7.12315271588652e-59 1284 1237 0 0
ENST00000273223.10 -13.077987024567 9.38751718195829 3.64839973793677e-63 NA 1.316670981424e-58 1176 1286 0 0
ENST00000307961.10 8.00409341426534 11.7871860843775 7.08668026045853e-63 RPL4-201 2.55751203919688e-58 25 26 7521 2893
ENST00000394332.5 -13.0291647545653 9.33933578979286 9.73688266463049e-63 NA 3.5139435848385e-58 1136 1244 0 0
ENST00000355731.8 -9.90335764547707 9.57093298039763 1.45505926088112e-62 RPL23A-201 5.25116336659386e-58 1312 1484 2 0
ENST00000326199.12 -12.9829472427804 9.29354560059444 2.46528605236898e-62 NA 8.8969708343944e-58 1007 1290 0 0
ENST00000541679.7 -12.9694641403267 9.28050956784076 3.29278327253671e-62 NA 1.18833255522577e-57 1119 1167 0 0
ENST00000593254.1 -12.9682520287142 9.27923607531125 3.32721908218106e-62 NA 1.20076009456832e-57 1082 1199 0 0
ENST00000530721.5 -8.42425407808101 10.2934359518049 6.23769031864305e-62 RPS3-216 2.25112005909509e-57 2522 2134 7 3
ENST00000445148.1 12.5937605069242 8.87512334771376 8.05121348520762e-62 GAGE12G-201 2.90560243467658e-57 0 0 1029 372
ENST00000528439.5 -12.9213414365134 9.23327959664261 8.76168628173162e-62 NA 3.16200496221412e-57 1176 1043 0 0
ENST00000561775.5 -12.9178742262278 9.22968163937104 9.48529298934000e-62 NA 3.42314738692291e-57 1095 1112 0 0
ENST00000284727.8 8.0558264139108 10.1799742566072 1.01413630669073e-61 ATP5MC3-201 3.65991651721619e-57 8 8 2539 907
ENST00000642444.1 -12.9012450919463 9.21299542319419 1.31086318715198e-61 NA 4.73077415611279e-57 957 1214 0 0
ENST00000440137.1 12.5700175214723 8.85061193303865 1.33263300697103e-61 GAGE12F-201 4.80933925885777e-57 0 0 989 381
ENST00000326004.4 -12.8493211799272 9.16237939671507 3.82152489688977e-61 NA 1.37915012003855e-56 1143 970 0 0
ENST00000535090.5 -12.8325625696279 9.14561455240998 5.40911918661028e-61 NA 1.95209702325579e-56 1029 1051 0 0
ENST00000520517.5 -12.8325410945163 9.14574545178624 5.41505552545172e-61 NA 1.95423938858027e-56 1088 997 0 0
ENST00000564439.5 -12.8269728289127 9.14017128322775 6.08913760800548e-61 NA 2.1975088713531e-56 1049 1025 0 0
ENST00000435983.5 -9.69700445299515 9.381707985984 7.03573796824977e-61 RPL32-206 2.53912747536166e-56 1179 1271 1 1
ENST00000645496.1 8.59957941531207 9.34681451478476 8.44107418891309e-61 RPL9-214 3.04629926403684e-56 3 3 1510 456
ENST00000526686.1 12.4716792041854 8.74225544717052 1.01956585432945e-60 HSPA8-208 3.67951121168956e-56 0 0 629 548
ENST00000456292.5 -8.54142602536325 9.91347232508078 1.27876013884429e-60 RPL31-211 4.61491746507516e-56 1758 1798 5 2
ENST00000626067.1 -12.7870955656065 9.10114619878062 1.37855174713075e-60 NA 4.97505540022016e-56 1109 916 0 0
ENST00000388835.3 8.16769124776281 9.47949816147649 4.15826527513536e-60 KRT18-201 1.5006763551436e-55 4 5 1535 578
ENST00000427805.6 9.40621823335167 8.69124196482831 4.30224373426003e-60 RPL36A-203 1.5526367412571e-55 1 1 1003 261
ENST00000601492.5 -12.7043443284135 9.01928843011709 7.82021296118857e-60 NA 2.82223665556334e-55 905 995 0 0
ENST00000533186.5 -12.6993182556804 9.01436540387608 8.53804293479703e-60 NA 3.0812943147389e-55 909 985 0 0
ENST00000334478.8 -12.673337446453 8.98887552364321 1.47029317930739e-59 NA 5.30614105480244e-55 914 948 0 0
ENST00000550920.5 -12.6600294044674 8.97575365545523 1.96010390674486e-59 NA 7.07381898905151e-55 895 949 0 0
ENST00000584577.5 -12.6446777062495 8.96094665970446 2.73022966309191e-59 NA 9.8531258311324e-55 974 858 0 0
ENST00000314138.10 8.02277079421579 9.48281653171068 2.79687070841219e-59 RPL27A-201 1.00936266995887e-54 5 5 1647 507
ENST00000589599.5 -10.2316874136231 9.04506884534369 6.85637424354263e-59 H3F3B-208 2.4743969007521e-54 912 1021 1 0
ENST00000503026.5 -12.593996483325 8.91102152894345 7.9205462004263e-59 NA 2.85844591827185e-54 908 858 0 0
ENST00000379412.9 -12.5000258376803 8.81878646099377 5.75116161100599e-58 NA 2.07553671379595e-53 867 789 0 0
ENST00000529460.1 -8.44713959185744 9.35420290756243 6.36613868319785e-58 ATP5MG-204 2.29747578937927e-53 1145 1254 4 1
ENST00000356769.7 7.78328483872705 9.49847139445843 6.53361095282943e-58 NACA-201 2.35791485676661e-53 6 6 1475 637
ENST00000273550.11 7.40218049043149 10.4232602466535 9.22886406135692e-58 FTH1-201 3.3306047511031e-53 15 15 2408 1456
ENST00000464611.1 -12.468967822854 8.7885069411608 1.1109240572271e-57 NA 4.00921383012687e-53 899 726 0 0
ENST00000348956.6 12.1046252874302 8.38755012805479 2.79288784685352e-57 CKB-201 1.00792529505097e-52 0 0 819 208
ENST00000550468.2 -12.4075682599121 8.72805565905282 4.15592089791789e-57 NA 1.49983029284959e-52 811 742 0 0
ENST00000451562.5 -9.29056946506445 8.96796769699919 4.16290787266077e-57 PPIA-203 1.50235182216455e-52 917 917 2 0
ENST00000215071.8 12.0726448196885 8.34724938337996 4.6480207684443e-57 PSMD8-201 1.67742421512386e-52 0 0 643 307
ENST00000331483.8 12.043793200027 8.31433325693615 7.87008031166826e-57 P4HB-201 2.84023328367796e-52 0 0 560 347
ENST00000459748.1 12.0275985028892 8.31061166972603 1.26626943677943e-56 AC116533.1-201 4.56983977039328e-52 0 0 784 192
ENST00000577640.1 -12.3284814909041 8.65017365520388 2.28476508008695e-56 NA 8.2454886975258e-52 695 769 0 0
ENST00000449683.5 -12.3263854330863 8.64829901520842 2.32777600688283e-56 NA 8.40071083123943e-52 731 734 0 0
ENST00000615234.4 9.78274784753931 8.22833159334149 5.19277124558331e-56 POLR2E-213 1.87401921481856e-51 1 0 638 251
ENST00000585392.2 -9.91584864144245 8.73500106994711 5.44056345582525e-56 SNRPD2-203 1.96344494557278e-51 720 832 1 0
ENST00000529163.5 -12.2790783153122 8.60178574021848 6.58100537184464e-56 NA 2.37501902864501e-51 675 740 0 0
ENST00000460985.1 -12.2380041577986 8.56141579436059 1.59804040544625e-55 NA 5.76716801921496e-51 629 744 0 0
ENST00000360566.6 11.8887764334546 8.15832896670867 1.72203076050127e-55 RRM2-202 6.21463681157304e-51 0 0 513 305
ENST00000328392.10 -12.22185224359 8.54581759781634 2.26313089692669e-55 NA 8.16741309391874e-51 661 700 0 0
ENST00000357865.6 -12.1798828881879 8.50495514838922 5.77713177832754e-55 NA 2.08490908748062e-50 678 647 0 0
ENST00000296674.12 7.04035599031361 10.4784916481542 7.27242360400775e-55 RPS23-201 2.62454495445036e-50 20 20 3257 1015
ENST00000521861.5 8.79723612802765 8.0724870124589 1.02580799646231e-54 EIF3H-209 3.70203847843283e-50 1 1 542 246
ENST00000600794.1 -12.1379337612822 8.4641451537885 1.42265889246251e-54 NA 5.13423367700795e-50 694 596 0 0
ENST00000399494.5 -12.1115579946167 8.43831638439087 2.54221561074951e-54 NA 9.1746019176339e-50 674 592 0 0
ENST00000336458.12 7.58673873409686 8.72828963172891 2.68146383300035e-54 EIF5A-202 9.67713482691496e-50 3 5 728 467
ENST00000393099.3 8.16765933868627 8.35985164326789 4.60573461334785e-54 RPL13-202 1.66216356461111e-49 2 2 769 225
ENST00000646680.1 -12.0717858226731 8.39933093731488 5.46887674193331e-54 NA 1.97366292739631e-49 637 593 0 0
ENST00000528957.5 7.84794159638014 8.59669364107933 5.84035720709665e-54 RPL8-207 2.10772651246911e-49 2 4 877 284
ENST00000412331.6 8.13730446287523 8.32148814360763 7.68826933208134e-54 EIF3L-203 2.77461951925484e-49 2 2 604 318
ENST00000464154.1 -12.0131294443891 8.34179577287486 1.73754616004402e-53 NA 6.27063033698286e-49 576 602 0 0
ENST00000640277.1 -11.9945944741561 8.32387802221498 2.52167272755258e-53 NA 9.10046470646451e-49 593 572 0 0
ENST00000593829.5 11.6308415397587 7.90379915079222 3.00586853622686e-53 LSM4-203 1.08478789603891e-48 0 0 500 208
ENST00000558401.6 7.76663324585836 8.51231353606501 3.61557100320278e-53 B2M-204 1.30482341934585e-48 3 3 818 274
ENST00000458455.2 7.76490375256227 8.50938694647066 3.66421150376615e-53 RPL11-203 1.32237728959417e-48 3 3 789 292
ENST00000525340.5 11.6189291643873 7.89435487847602 3.84665209088941e-53 EEF1G-203 1.38821827308108e-48 0 0 525 187
ENST00000292644.4 11.6163545410869 7.89104814717335 4.17140984390239e-53 PSMC2-201 1.50542009856593e-48 0 0 516 192
ENST00000409409.5 -9.59963126779634 8.42619357133046 5.06918179769994e-53 CYCS-202 1.82941701897193e-48 654 599 1 0
ENST00000225777.7 9.41817893679979 7.86266639166664 6.57928073886145e-53 SYNGR2-201 2.37439662584771e-48 0 1 481 205
ENST00000511473.5 -7.10758625570063 9.43997088279778 9.01266416200952e-53 RACK1-224 3.25258036942761e-48 1345 1204 12 2
ENST00000592623.5 11.5693366074437 7.85018916940319 1.11763630442134e-52 RPS15-210 4.03343765902618e-48 0 0 570 139
ENST00000646664.1 -11.9146188278 8.24603509640252 1.24529079251917e-52 NA 4.49412994112242e-48 583 521 0 0
ENST00000557929.5 -11.9073160024483 8.23877870756162 1.45372072284334e-52 NA 5.24633271666933e-48 563 534 0 0
ENST00000461447.1 -7.32866107604231 9.35497178634709 1.4818481994806e-52 GLUL-205 5.34784196710555e-48 1371 1040 7 4
ENST00000429711.6 6.74513459559712 10.8613790788408 1.50602529246036e-52 RPL32-204 5.43509467796018e-48 32 32 4490 1158
ENST00000485362.1 -11.8974418056521 8.2290053659882 1.73355572003632e-52 NA 6.25622923803909e-48 541 547 0 0
ENST00000293842.10 -11.8890084669315 8.22052307759414 2.0031383227635e-52 NA 7.2291258930212e-48 506 573 0 0
ENST00000296930.9 6.75239441094614 11.2900401596621 2.8525295201057e-52 NPM1-201 1.02944937851095e-47 46 40 5617 1835
ENST00000309794.15 11.5047113652485 7.77035454186225 3.58168466381435e-52 NARF-201 1.29259417832396e-47 0 0 397 231
ENST00000620941.1 -11.8558136554402 8.18863518372203 3.88315615390435e-52 NA 1.40139222438254e-47 549 510 0 0
ENST00000568588.5 -11.8502279179539 8.18299722266093 4.43798420020443e-52 NA 1.60162411801178e-47 524 529 0 0
ENST00000561424.5 -11.8340591739026 8.16711415586683 6.10362262632244e-52 NA 2.20273636961351e-47 503 537 0 0
ENST00000330752.12 -11.8296028405466 8.16363997309149 6.81753981434595e-52 NA 2.46038194359931e-47 600 445 0 0
ENST00000521216.5 -11.8268145960176 8.16007996106207 7.24390436625801e-52 NA 2.61425264673885e-47 503 532 0 0
ENST00000641834.1 11.462172477121 7.73217409662045 9.18831666496893e-52 C19orf48-216 3.31597160122064e-47 0 0 431 194
ENST00000261623.7 11.4521647819239 7.72249586418392 1.0743144138944e-51 CYBA-201 3.87709328830349e-47 0 0 432 190
ENST00000549855.5 -11.7925201358359 8.12683117719699 1.38067848774893e-51 NA 4.98273059443711e-47 507 505 0 0
ENST00000532567.5 -8.78902899957137 8.49035671554816 1.38591271499166e-51 RPS25-206 5.0016203971334e-47 623 682 1 1
ENST00000372692.8 -11.7891825823364 8.12406305981303 1.48352527844064e-51 NA 5.35389437736442e-47 558 456 0 0
ENST00000370641.3 11.4227845676985 7.69368699939241 1.99687285642158e-51 GNG5-201 7.20651445153985e-47 0 0 431 181
ENST00000374231.8 -11.7629510165095 8.09765634045914 2.54016418418602e-51 NA 9.16719852430893e-47 455 533 0 0
ENST00000372991.8 7.83097116378025 8.01036893786025 3.29642018540177e-51 CCND3-203 1.18964508070965e-46 2 2 449 283
ENST00000249750.8 11.38981708262 7.65241278132746 3.77128147673788e-51 ALDH1A2-201 1.36101777213993e-46 0 0 352 223
ENST00000246802.9 11.3231789274324 7.58454503041568 1.39701222503559e-50 NOP53-201 5.04167741893092e-46 0 0 333 215
ENST00000462138.5 7.59316339757481 8.08212917029731 1.44972293258337e-50 TKT-208 5.23190509140012e-46 2 3 522 262
ENST00000458478.5 -11.6610077147581 7.99882269008286 1.99148250586167e-50 NA 7.18706121540417e-46 453 470 0 0
ENST00000282050.6 -11.6585905575311 7.99680334336656 2.06069295718713e-50 NA 7.43683481319262e-46 483 441 0 0
ENST00000525085.1 -11.6484121405776 7.98606347170543 2.57182623147541e-50 NA 9.28146368677161e-46 401 510 0 0
ENST00000581693.5 -11.6386320089306 7.97777315662767 3.12227063143413e-50 NA 1.12679624817826e-45 509 405 0 0
ENST00000368533.7 11.2798818091883 7.54629249522718 3.4773011334723e-50 TPM3-212 1.25492320605882e-45 0 0 366 180
ENST00000452606.2 -7.82747589466585 8.43811096647045 3.78872477572455e-50 RPL32-207 1.36731288431123e-45 602 654 4 0
ENST00000602728.1 -11.5860511523719 7.92613069495964 9.06041485263205e-50 NA 3.26981311616638e-45 439 438 0 0
ENST00000269395.6 -11.5777323042056 7.91919975278776 1.06569879987831e-49 NA 3.84600039888083e-45 534 346 0 0
ENST00000314349.8 11.2007209938214 7.46423152081089 1.79740786261615e-49 TIMM50-201 6.48666523539541e-45 0 0 332 180
ENST00000512576.2 7.20876444686908 7.93996734218529 2.02556892192879e-49 PAICS-207 7.31007568234882e-45 3 3 385 298
ENST00000649126.1 7.20728527822678 7.94214286034066 2.19608540482064e-49 HSPA9-214 7.9254526174572e-45 3 3 428 269
ENST00000399817.8 -11.5370348447456 7.87861776538744 2.4399093516311e-49 NA 8.80538885910148e-45 428 420 0 0
ENST00000417009.5 -11.5302123992392 7.87200142098333 2.73025371426333e-49 NA 9.85321262940495e-45 426 418 0 0
ENST00000328923.7 11.1717096424058 7.43453429823933 3.12839787934447e-49 SHMT2-201 1.12900751067662e-44 0 0 323 178
ENST00000517309.5 11.1596762576921 7.41332116446401 3.68231880458721e-49 PTDSS1-202 1.32891203338748e-44 0 0 260 217
ENST00000508493.1 -7.69860742422699 8.31296144830628 4.93219961903644e-49 RPL37-204 1.77998152051406e-44 552 597 4 0
ENST00000524496.5 -11.4958315505113 7.83817982224721 5.46009289206189e-49 NA 1.97049292381621e-44 378 443 0 0
ENST00000547276.5 -11.4969089269157 7.84022238200738 5.58508063605024e-49 NA 2.01559975074417e-44 456 372 0 0
ENST00000405636.6 11.1400260457885 7.39546186805331 5.8738891352807e-49 TOMM40-202 2.11982785003145e-44 0 0 270 205
ENST00000618656.1 -11.493278243589 7.83593252758754 6.04942726521266e-49 NA 2.1831778057426e-44 395 426 0 0
ENST00000611080.1 -11.4771054315248 7.82076155178189 8.01027868975363e-49 NA 2.89082947634519e-44 429 386 0 0
ENST00000215882.9 7.38831402365233 7.87506282578224 8.4986152637712e-49 SLC25A1-201 3.06706526254239e-44 2 3 438 237
ENST00000225308.12 7.54969854790174 7.73401936185056 9.19293833466539e-49 SLC25A39-201 3.31763951559739e-44 1 3 411 206
ENST00000490870.5 -11.4632491255052 7.80697908352131 1.08224666637414e-48 NA 3.90571999427762e-44 398 407 0 0
ENST00000322088.10 11.1095429097037 7.37267169361668 1.16106413321711e-48 PPP2R1A-201 4.19016435036722e-44 0 0 316 166
ENST00000356950.1 -9.09489647976357 7.93493643856818 1.21954898366292e-48 HIST1H2BK-201 4.4012303271411e-44 422 458 1 0
ENST00000579618.1 -8.00305546401976 8.25814450870719 1.54074116640956e-48 SNRPD1-203 5.56038079545548e-44 582 527 1 2
ENST00000354171.12 7.75958290565626 7.55967420985579 1.59856245216101e-48 GPX4-201 5.76905203360387e-44 2 1 410 151
ENST00000549833.1 -11.4280747318687 7.77280705496504 2.27589914146911e-48 NA 8.21349241164788e-44 381 404 0 0
ENST00000569301.1 -11.4090931338428 7.75430101306162 3.39856193229839e-48 NA 1.22650701574716e-43 367 407 0 0
ENST00000530705.5 6.55119493773642 8.58267789185319 3.78016551528564e-48 TPT1-212 1.36422393281143e-43 7 8 676 406
ENST00000216281.12 -6.64080336871091 8.8847240625922 3.92181340820697e-48 HSP90AA1-201 1.41534324088781e-43 867 850 11 2
ENST00000311487.9 7.71194088695295 7.52091820568234 4.45858006798442e-48 HMGA1-201 1.6090569607349e-43 1 2 447 113
ENST00000524851.5 -6.23090161210251 10.3657325120589 5.84481901707551e-48 RPS3-203 2.10933673507238e-43 2616 2233 43 8
ENST00000322347.10 6.73379356776086 8.32470076600062 6.21776017099107e-48 COX5A-201 2.24392746810897e-43 6 5 638 292
ENST00000343262.8 6.35144548276472 12.114155482836 6.9819958982506e-48 RPS2-201 2.51973249971966e-43 82 117 7690 4672
ENST00000396599.2 6.80973107552511 8.12055711072826 8.16861258536378e-48 RPL21P75-201 2.94797059593193e-43 4 5 576 239
ENST00000509698.5 -11.3635500680114 7.71005258361474 8.25432371843215e-48 NA 2.97890288674498e-43 344 405 0 0
ENST00000469257.1 6.45258160030778 8.7414906198882 8.96681423624394e-48 EIF1-203 3.23603358971807e-43 9 9 674 506
ENST00000375779.6 -7.61434244299749 8.25612990669902 1.16775749730918e-47 CLIC1-206 4.2143200320391e-43 512 589 2 2
ENST00000366425.3 7.9917310543234 7.26195154002654 1.29394185098728e-47 GP1BB-201 4.669706746028e-43 1 1 313 138
ENST00000530398.1 -11.334093213754 7.6817739095295 1.51364245596001e-47 NA 5.46258425931407e-43 351 384 0 0
ENST00000520868.5 -11.3343157409578 7.68290869114964 1.53310787237727e-47 NA 5.53283300062234e-43 411 329 0 0
ENST00000644362.1 -11.3249428560481 7.67323996765233 1.83486091803231e-47 NA 6.62182956708679e-43 369 363 0 0
ENST00000623063.3 7.6354567895578 7.42822007271687 1.86816739916478e-47 ADSL-208 6.74202932684576e-43 2 1 329 170
ENST00000531188.5 6.23201604106052 11.3684459172322 2.00116834237368e-47 RPS3-217 7.22201643079239e-43 71 59 5653 2094
ENST00000643777.1 -11.3047085250002 7.6535261046415 2.8328189768445e-47 NA 1.02233604055341e-42 354 367 0 0
ENST00000541364.5 -11.3053630099959 7.65467842587332 2.86991660733715e-47 NA 1.0357242044219e-42 387 337 0 0
ENST00000262306.11 -8.27707015224059 8.00457422284009 3.5151058882931e-47 ELOB-201 1.2685665640261e-42 405 515 0 2
ENST00000316292.13 10.9416001745328 7.21135947509665 4.03492197421789e-47 EEF1A1-202 1.45616299127549e-42 0 0 328 116
ENST00000605997.5 -11.2797763187897 7.62930577959071 4.52391734604874e-47 NA 1.63263653101553e-42 340 368 0 0
ENST00000369817.6 -11.2786222093059 7.62850486308699 4.83193280807513e-47 NA 1.74379623110623e-42 359 350 0 0
ENST00000617763.1 -11.2650321117342 7.61510343484816 6.52602904841851e-47 NA 2.35517862328376e-42 339 362 0 0
ENST00000616836.4 10.900101103713 7.15982286095969 8.77552966270285e-47 DCAF13-209 3.16700089997283e-42 0 0 268 147
ENST00000489418.5 7.8895516169117 7.15072561711817 9.62150006242776e-47 SLBP-206 3.47230315752955e-42 1 1 248 158
ENST00000582911.5 -11.2260130812816 7.57715271698815 1.45183438788098e-46 NA 5.23952512242366e-42 314 367 0 0
ENST00000469308.1 -11.2220857033676 7.57375720268564 1.5102722466794e-46 NA 5.45042151104129e-42 336 345 0 0
ENST00000409194.5 -6.41572937875326 9.07891074328716 2.00964946984452e-46 ATP5MC3-203 7.25262397172189e-42 930 1029 10 7
ENST00000486193.1 7.28322020142788 7.45690950669917 2.26521200413122e-46 PSMA7-206 8.17492360170917e-42 2 2 293 203
ENST00000339812.2 -11.1993603792659 7.55153080577844 2.38370622703241e-46 NA 8.60255740273728e-42 314 355 0 0
ENST00000323213.9 -11.2012525870939 7.5540392002801 2.45300387349291e-46 NA 8.85264567904857e-42 353 320 0 0
ENST00000415136.6 7.26950150509769 7.45127662969045 3.20439314323758e-46 DDOST-202 1.15643344146301e-41 2 2 347 163
ENST00000361682.10 10.8446563328013 7.11420565585074 3.31805263645859e-46 COMT-202 1.19745201597154e-41 0 0 310 106
ENST00000458500.5 -6.81983810768579 8.41906079672085 4.30980614012412e-46 RPL10-210 1.55536593790939e-41 639 598 5 3
ENST00000482370.2 -6.14865939952079 9.42466505520167 4.83785481673988e-46 RPL11-205 1.74593342481326e-41 1235 1263 21 6
ENST00000333676.7 7.24525417268661 7.42971323768833 4.84692915433407e-46 MRPL12-201 1.74920826250762e-41 1 3 344 159
ENST00000489841.5 -8.15773499571387 7.87670405750157 5.12296171553814e-46 MCM7-210 1.84882565352056e-41 410 433 1 1
ENST00000554332.1 -11.1610759472426 7.51517787960913 5.27535167652235e-46 NA 1.90382166654015e-41 337 317 0 0
ENST00000546500.5 6.01483355808539 10.8442989157782 7.40509410430976e-46 HNRNPA1-203 2.67242441130435e-41 59 46 3618 1652
ENST00000439189.1 7.06356913501978 7.55980862731396 7.41022661999452e-46 RPL13AP5-201 2.67427668488982e-41 2 3 435 132
ENST00000280326.8 5.97331611114329 9.97530468122477 7.4805594739059e-46 CCT5-201 2.6996591085379e-41 31 28 1841 998
ENST00000269349.7 7.05643540039549 7.54604525346645 7.96359776760563e-46 EIF4A3-201 2.8739827983512e-41 2 3 381 166
ENST00000506572.5 -8.88704444804416 7.74686439012664 8.1892559609308e-46 CCNB1-204 2.95542058374032e-41 400 371 0 1
ENST00000398165.7 10.7813069551947 7.03274228823889 9.55241768095771e-46 CBS-204 3.44737201688083e-41 0 0 215 157
ENST00000549183.1 -8.87074294549636 7.73139868519929 1.11763338461471e-45 TUBA1C-204 4.03342712173603e-41 416 348 0 1
ENST00000355968.10 -6.02932056660426 9.49228271833877 1.29804336657668e-45 PPIA-201 4.68450870563859e-41 1298 1319 25 6
ENST00000481445.1 6.46518169988467 8.06168334720473 1.44618334641908e-45 COX7B-203 5.21913107889182e-41 6 5 598 197
ENST00000508451.1 -8.10314480425115 7.82428461051128 1.59221146780816e-45 CCT5-206 5.74613196617288e-41 423 391 1 1
ENST00000397375.6 10.7562323106628 7.01879073604089 1.78419317041725e-45 MRPS34-202 6.43897473271881e-41 0 0 263 119
