logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 PacBio_K562_1 PacBio_K562_2
4.99856454864669 7.33759748467563 3.77351223470685e-49 CBS 5.28404918226e-45 9 9 306 227
6.15272090386651 7.49173855269033 1.04760070534414e-48 MRPL41 1.4669552676934e-44 4 5 423 204
12.4584322970189 8.61959996066888 2.94286550435634e-47 GAGE12G 4.12089456575018e-43 0 0 1056 378
-4.85705687060871 8.05836109969748 5.7587299142231e-47 CD52 8.06394949888661e-43 448 495 18 12
4.09633635289879 7.9885377003646 7.39383477592683e-47 CCND3 1.03535868367303e-42 27 25 500 326
6.14347403159851 6.36783861685279 9.07504349633406e-47 GRWD1 1.27077834079166e-42 2 2 164 113
4.21327235931507 8.23380481370981 1.42057408058684e-46 SRM 1.98922988504575e-42 27 30 618 373
6.06624407680191 6.29300689739178 4.34172953127603e-46 RALY 6.07972386264583e-42 2 2 161 103
-10.0369042474044 6.25771814781722 4.39352004507137e-46 AC145207.4 6.15224611911343e-42 136 136 0 0
5.72197175739424 6.50697147854298 5.36110278053428e-46 PTP4A3 7.50715222358215e-42 3 3 195 113
5.76575262136959 6.94726888730935 6.2196741519187e-46 SLC39A3 8.70940971493176e-42 4 4 280 144
7.00564502146729 7.21997155338811 9.44047606764568e-46 MRPL12 1.32194986375242e-41 1 3 360 164
5.71811462775798 6.71207170391548 1.13387329175127e-45 PSMD3 1.5877627704393e-41 4 3 197 151
4.22742010258926 8.05686417439028 1.71902600577405e-45 SLC25A1 2.4071521158854e-41 26 24 566 317
4.55892182486669 7.13662561639418 2.39128968634991e-45 RNH1 3.34852294779577e-41 10 11 296 172
5.58318843204306 6.37278003411293 4.50700494106594e-45 NOC4L 6.31115901897464e-41 3 3 167 110
-4.89489110702478 6.9169687540545 4.84265018967343e-45 AL034397.2 6.7811630605997e-41 214 209 9 4
6.15690184528199 6.38144654419651 7.02056027468117e-45 RAB5C 9.83089055263605e-41 2 2 182 102
5.12639203360939 6.48972489483542 2.72991496969065e-44 SGTA 3.82269993205782e-40 5 4 182 117
4.57642330509461 7.51115825957491 3.55213556165587e-44 COPE 4.97405542698671e-40 13 14 400 213
7.70292929429256 6.99833166027999 3.77156730466059e-44 GP1BB 5.28132569671622e-40 1 1 313 138
6.10020080805581 6.62241654637956 1.16168561508449e-43 RRP1 1.62670836680281e-39 3 2 181 146
4.6452994817395 6.64663707474101 1.63041407160174e-43 RRP7A 2.28306882446392e-39 7 7 197 132
5.90996089811941 6.14204917632203 3.87536411177131e-43 IMPDH1 5.42667236571337e-39 2 2 145 92
6.50768286086771 7.84402504514026 7.33785617849992e-43 RPL21P75 1.02752000067534e-38 4 5 576 239
10.0445439653765 6.2132382632762 8.86586581941565e-43 SDF4 1.24148719069277e-38 0 0 138 111
4.31332930184207 7.71231220544413 9.96927788879093e-43 ATP5F1D 1.39599798276739e-38 16 21 445 251
4.08444717510041 7.1931334998297 1.89479601034378e-42 PDIA4 2.6532828532844e-38 15 15 279 193
4.30311538225387 7.40151731127492 2.16833489962109e-42 MAGEA3 3.03631935993941e-38 14 16 361 200
3.89737760896348 7.93361248149426 3.82594859339318e-42 PPP2CA 5.35747581532847e-38 30 27 507 291
-9.75874354126167 5.99070072752511 4.40576935814793e-42 AL034397.3 6.16939883221455e-38 123 102 0 0
3.79833376658646 7.56595122105674 5.06901584107803e-42 PUF60 7.09814288226157e-38 24 23 372 237
6.15611679885701 6.00214648571706 6.23089421457365e-42 PUSL1 8.72512116866748e-38 1 2 131 84
3.9921464799012 7.5552533341689 7.63003273390803e-42 MAGEA6 1.06843348372914e-37 18 23 377 234
-5.0482583066023 10.2014574670263 2.55002917873042e-41 IFITM2 3.57080585897621e-37 2115 2125 88 35
10.3384238379591 6.51215679218954 2.23449030943476e-40 SPATC1L 3.12895678030149e-36 0 0 222 99
5.6340366124097 7.79420649195653 3.49757015900539e-40 SYNGR2 4.89764749365525e-36 8 8 545 233
4.252369118858 7.30369065641873 6.49235466513379e-40 PPP2R1A 9.09124423758685e-36 15 14 343 182
5.05311787420142 6.56334003078155 7.7278515448934e-40 PPAN 1.08213105183142e-35 6 4 175 135
6.53381168943989 6.74181933811776 9.42097000674994e-40 SEPT5 1.31921843004519e-35 2 2 184 169
5.17438196964398 8.03760080443598 1.12688812678868e-39 C19orf48 1.57798144394218e-35 12 14 634 279
5.01085162572732 6.21782428971027 1.15983190986472e-39 ECSIT 1.62411262338357e-35 4 4 153 94
3.93221804059755 7.78301034775407 1.89784267772518e-39 KCNH2 2.65754910161857e-35 23 27 462 259
11.059711662719 7.23013392183122 4.24245926078117e-39 GAGE2E 5.94071570287187e-35 0 0 393 147
3.75522319044137 7.26210561953251 7.6463679857308e-39 ADRM1 1.07072090904188e-34 18 21 295 195
5.20891486226989 6.22446961179567 1.03678603134376e-38 SYNGR3 1.45181147969067e-34 3 4 142 104
9.50256451676525 5.68804362980078 2.0041670390399e-38 CORO1B 2.80643510476757e-34 0 0 101 72
4.33115870744373 9.09148889037073 2.45722424920603e-38 KRT8 3.4408511161632e-34 51 45 1251 597
4.7420716207843 8.52389226273012 2.62260333719535e-38 YDJC 3.67243145307465e-34 24 25 877 391
3.46202247964442 7.719492118642 4.62444194737226e-38 PDIA3 6.47560605890537e-34 34 31 404 261
9.50491522971009 5.69013342481931 5.27056094380205e-38 DOHH 7.38036648960601e-34 0 0 100 73
5.62706732805478 7.8610004300065 6.78453024087828e-38 NOC2L 9.50037769630185e-34 9 8 375 378
9.70151345496691 5.88272041212099 6.86672152031729e-38 TMUB1 9.6154701449003e-34 0 0 134 69
9.90143816454322 6.08059911555513 8.55824888578148e-38 AGPAT2 1.19841159147598e-33 0 0 159 76
4.08270959890652 9.43170165441727 8.55946070658988e-38 TUFM 1.19858128274378e-33 72 71 1524 780
4.50111556955605 6.4089588388267 9.09127191513733e-38 TPD52L2 1.27305080627668e-33 5 8 173 106
4.91286199224335 6.4335330175572 1.19882395608988e-37 LRPAP1 1.67871318571266e-33 5 5 189 101
4.39220891565586 6.91027743609041 1.24583099447081e-37 GPS1 1.74453714155748e-33 10 10 264 137
3.70392869160363 6.97615365852587 2.40696096394794e-37 DNAJB1 3.3704674378163e-33 16 17 240 160
3.7327435923952 6.95841267042148 2.56358536550125e-37 KIF22 3.5897885873114e-33 16 16 249 150
4.49319525768091 6.59885813101123 7.33208706814982e-37 SNX17 1.02671215215302e-32 7 8 176 137
4.35796025827401 6.2733653742919 8.41779392676258e-37 KEAP1 1.17874368356456e-32 6 7 151 100
9.69286762158761 5.8692066235828 9.88530894061995e-37 PKP3 1.38423981095501e-32 0 0 107 88
5.93792666954354 5.79253060857368 9.90917579977809e-37 SPHK1 1.38758188724293e-32 1 2 118 68
5.38109454769196 5.9335431322935 1.01205579683749e-36 MVD 1.41718173231154e-32 2 3 129 75
4.63671555722169 7.14634844732778 2.25724924874705e-36 MRPS34 3.16082612302049e-32 9 11 325 155
4.59529659841478 9.01666965945602 2.93490800796881e-36 TRAP1 4.10975168355872e-32 34 42 1214 560
4.2524671091781 6.70808788809436 5.15798133699737e-36 MRPL38 7.22272126619742e-32 8 11 224 121
-9.42532876144067 5.67321738769309 5.51651011488881e-36 AC005832.4 7.72476911387879e-32 89 89 0 0
3.79510601935667 8.44906477487471 7.25083268714878e-36 TUBB4B 1.01533410118144e-31 40 47 626 479
4.11882172005967 7.96013221631373 8.3690379165579e-36 TK1 1.1719163794556e-31 23 27 558 274
3.64373910831345 7.62532290154226 8.40107885715423e-36 AURKAIP1 1.17640307236731e-31 25 29 408 229
5.60167762158117 6.38608637179159 8.95617949308166e-36 MAF1 1.25413381441623e-31 3 3 147 127
3.32769208674196 8.11071331520979 9.24276755012117e-36 RRM2 1.29426474004347e-31 49 44 548 325
-9.3492358894697 5.60107931851854 1.039048266685e-35 LINC01670 1.45497928783901e-31 87 82 0 0
5.17453227459666 5.98183113238128 1.75455676136251e-35 GPAA1 2.45690583293592e-31 3 3 119 88
4.65932589850051 6.04814762138802 1.93741691044382e-35 DPP7 2.71296489969449e-31 4 5 130 86
6.24630475720995 5.5736550408769 2.05069035658455e-35 MPST 2.87158170632534e-31 1 1 99 60
4.14269453838255 6.86903867584774 2.29340783813809e-35 FLOT1 3.21145899574476e-31 12 11 208 165
-3.84509611453109 6.7848755777876 2.97189980941988e-35 ARHGDIB 4.16155130313066e-31 192 181 17 7
4.79091145710532 6.88734761584791 3.49804508021958e-35 LMAN2 4.89831252583148e-31 7 8 273 129
5.2358052806019 9.29085127731723 3.75864578261749e-35 KRT18 5.26323168939927e-31 31 29 1599 616
3.78345246759266 9.08226395140812 6.08194644511821e-35 PGAM1 8.51654960709903e-31 64 72 1150 624
5.10241639838504 6.12457680296238 7.22023466137144e-35 IDH2 1.01104945963184e-30 3 4 153 81
4.85797887791085 5.8918012477179 9.20203173819104e-35 AKR7A2 1.28856050429889e-30 3 4 120 75
3.80119430339949 6.72758944491723 1.15939961361213e-34 SLC25A4 1.62350727894106e-30 13 13 218 124
5.75176973797902 5.61603089396053 1.1672536399879e-34 HSPBP1 1.63450527207505e-30 1 2 97 65
7.26833418775935 5.7333916689048 2.11128588347803e-34 SAFB 2.95643362263429e-30 1 0 96 80
5.15631348521656 5.96419500346809 2.27668331876732e-34 FAM173A 3.18803965126988e-30 3 3 116 88
6.077818507456 6.29740729075196 2.49622855270459e-34 PCYT2 3.49546884235223e-30 2 2 135 123
4.79571781471073 6.01434813245725 4.10612003407107e-34 ARL6IP4 5.74979988370972e-30 4 4 137 77
9.34201496178271 5.53229134854771 4.66572569301377e-34 HMG20B 6.53341568792718e-30 0 0 87 67
-4.17104063823525 6.45252940720146 5.23166001280685e-34 CNOT1 7.32589351593344e-30 164 134 8 7
4.49062267277574 6.16601448758535 5.71905983015526e-34 CAPN1 8.00839948016641e-30 5 6 134 98
5.34479016110125 6.69254777849147 6.40815215005606e-34 ELAVL1 8.9733354557235e-30 5 4 174 162
4.49492314695428 6.03759916683087 7.90381312668077e-34 PPP5C 1.10677095212911e-29 5 5 135 80
7.05624585267516 5.53262448694562 1.00480056561994e-33 FBXW5 1.4070222320376e-29 1 0 86 67
-3.22876269168651 8.17043900567534 1.0848761865302e-33 PPP2R5C 1.51915212399824e-29 521 440 60 35
6.11651344711153 5.45068238596493 1.2938897834061e-33 SLC25A10 1.81183386370357e-29 1 1 89 56
3.7999043250162 6.42634739566669 2.14179739306972e-33 EGFL7 2.99915888951553e-29 10 11 163 110
4.69888921946254 5.92387789439554 2.58387367647606e-33 TOP1MT 3.61819830916942e-29 4 4 115 82
4.29098305620001 6.81634982880521 2.82257249367405e-33 UBXN1 3.95244826289177e-29 10 10 253 123
-3.82008287754513 7.13686947724506 3.06473080849608e-33 PSENEN 4.29154255113706e-29 228 248 18 13
5.09941762950764 5.91024125856854 3.09693460951402e-33 RPS6KB2 4.33663753370248e-29 3 3 111 85
5.66284691789035 5.90747172967369 3.87727913326417e-33 SURF6 5.42935397030982e-29 2 2 135 68
4.35311496005938 6.03794741886935 4.04608459127825e-33 TUBB2A 5.66573225316694e-29 5 6 126 86
5.10725150995708 5.67435617403361 6.29817950951672e-33 CHMP1A 8.81934076717626e-29 2 3 104 64
4.89172040631816 6.10337932325357 8.09871400881512e-33 PDLIM7 1.13406292265438e-28 4 4 124 99
4.49722063836339 5.89665340483924 8.86727587484928e-33 MIIP 1.24168464075514e-28 4 5 116 77
-5.35224664974217 6.6780823497626 9.62346104644556e-33 NDUFC2-KCTD14 1.34757325033377e-28 157 201 6 2
3.92911787090442 6.89506868956237 1.05581069851509e-32 HNRNPM 1.47845172113068e-28 15 12 208 168
4.29982450069621 7.43784323729207 1.12144859378219e-32 VCP 1.5703644658732e-28 16 15 287 263
9.77839911031551 5.94609811396993 1.1937732204704e-32 ATAD3B 1.67164064062469e-28 0 0 105 99
4.08866289864917 6.12569758743403 1.43077284847371e-32 PRPF31 2.00351121971774e-28 7 7 131 92
4.09783619897953 7.00767986579217 1.95143753774315e-32 KLHDC3 2.73259798410173e-28 12 14 287 140
4.15902745622208 6.19051153107752 2.64981352757038e-32 FERMT3 3.7105338826568e-28 7 7 153 85
3.56813451804544 6.61913456243593 2.70569310902638e-32 PKMYT1 3.78878206056964e-28 14 14 181 127
3.93415031415541 6.54927147694513 3.01916814629848e-32 MRPS2 4.22774115526176e-28 11 10 199 106
3.37125759356591 6.71419915225787 3.43519983322216e-32 ARL5A 4.81031032646098e-28 18 16 204 125
3.29714030421931 7.13661580419651 3.61405292597087e-32 FUCA2 5.06075831223701e-28 26 22 282 161
4.06712622794522 6.29299079141763 4.14048849621193e-32 PTOV1 5.79792604124556e-28 7 9 164 91
4.23626316351988 6.26130850348564 4.25028197345455e-32 RBM42 5.95166984742841e-28 7 7 138 107
5.7556606744241 5.61917889413158 4.38073385239528e-32 LRWD1 6.13434161350911e-28 1 2 91 70
4.25170830628459 6.27762141829586 4.70229677533504e-32 NUBP2 6.58462617450166e-28 7 7 167 88
5.04020378146001 5.85419666177688 4.93657987581668e-32 SMARCB1 6.91269280010609e-28 3 3 106 82
-6.05739803321944 5.55224680012799 5.08046074783475e-32 ATP6V1G2-DDX39B 7.114169185193e-28 84 77 1 1
4.67227760980415 5.71692284256705 1.03454841767552e-31 CLTB 1.44867814927104e-27 4 3 104 67
5.29165139295141 6.09765452086978 1.04757529682546e-31 GNB1L 1.46691968814469e-27 3 3 157 75
-4.54431068153992 5.92266988843541 1.27739047488815e-31 IMMP2L 1.78872988198588e-27 106 100 7 1
-3.64381835400861 6.6730439612775 2.53591748421861e-31 AFMID 3.55104525315132e-27 168 172 15 10
4.56690953795416 5.79958295952583 3.2169697665627e-31 MAEA 4.50472276411775e-27 4 4 115 67
5.27249514067706 5.53448359360623 3.43038240348817e-31 UBE2S 4.80356447960449e-27 2 2 97 56
-3.80400629623455 8.12203903672106 4.98700010600255e-31 PAGE1 6.98329624843538e-27 456 498 47 18
3.75962545654191 8.08518397432328 5.01529428036889e-31 FARSA 7.02291658080056e-27 33 36 609 288
3.21327518129828 7.64327357701429 5.76408299017137e-31 RHEB 8.07144541113697e-27 36 36 407 223
3.36343421305766 6.53169787152826 6.83018883753196e-31 TPST2 9.56431342919601e-27 15 15 175 113
-3.18491468751604 7.54516115502596 7.22177903214155e-31 CRBN 1.01126571787078e-26 306 309 41 22
4.38184347969244 7.61644320071584 8.49103229098308e-31 BSG 1.18899925170636e-26 16 17 470 199
4.00994853292555 6.05252831564343 1.13153392652666e-30 SNX9 1.58448695731529e-26 7 7 136 78
8.97315955116714 5.18152749041162 1.21906449250177e-30 JUNB 1.70705600885023e-26 0 0 70 50
5.06237737097399 6.70107823123388 1.27703957271134e-30 PTGES2 1.78823851366769e-26 5 6 170 165
4.81081059545908 6.19504191096049 1.45196524141551e-30 GCAT 2.03318692755415e-26 4 5 166 80
3.99379238136206 6.13300267298405 1.55530838820967e-30 ASF1B 2.17789833600999e-26 8 7 146 81
4.671239619486 6.20683237252582 1.77683977703647e-30 C20orf27 2.48810873978416e-26 5 5 166 81
4.61928447816903 8.88083865502161 2.25904277554395e-30 SLC25A6 3.16333759859419e-26 31 37 1170 467
9.09755726175106 5.29834187261087 2.48969101080811e-30 MFSD10 3.4863143224346e-26 0 0 73 57
4.52059831519946 5.75777234512867 3.23951183872481e-30 PRPF6 4.53628842776635e-26 4 4 101 73
3.60567565199748 6.24953765634467 3.37120595053586e-30 SCCPDH 4.72069969253536e-26 10 11 144 95
-9.24731055577416 5.50434920258636 3.43898328282337e-30 COMMD3-BMI1 4.81560829093757e-26 74 83 0 0
3.33621293932327 8.10735368636439 3.52768338009274e-30 PRELID1 4.93981503714386e-26 45 47 583 300
4.35546635016866 6.16100391267159 5.18194051544048e-30 PLEKHJ1 7.25627130377131e-26 6 6 156 80
3.67299004390732 6.31030777875404 5.31150389443489e-30 PPP4C 7.43769890337718e-26 10 11 161 92
-3.11733935942504 7.32686124623623 5.37772771438199e-30 ZNF595 7.5304321184491e-26 291 236 35 21
3.1109914283026 7.02957447431759 5.67860235510151e-30 NIPA2 7.95174687784865e-26 26 24 256 149
4.33962707574038 6.02450674885706 9.41670884292665e-30 TBL3 1.31862173927502e-25 5 6 117 91
-3.81413183505178 6.20839045573878 9.42353614836882e-30 AC093766.1 1.31957776685609e-25 124 122 10 6
2.93495186824735 7.29131698972512 1.02035327881528e-29 ADIPOR1 1.42880069632504e-25 35 32 297 181
-3.91318189753339 6.20021787587794 1.21168876824674e-29 GMFG 1.69672778217591e-25 124 122 11 4
3.21873491086262 6.6587002170683 1.52037719614162e-29 HARS 2.12898418775712e-25 19 17 197 117
3.18109996440284 6.84738127713581 1.99849565793923e-29 TRUB2 2.7984934698123e-25 19 23 212 142
3.98866323390128 6.03450418289036 2.4677688128164e-29 GTF3C5 3.4556166685868e-25 6 8 134 77
8.81467426193085 5.02979279450609 2.47575683457106e-29 PODXL2 3.46680229544986e-25 0 0 66 42
3.43862877220208 9.10133911162129 2.56067112886027e-29 EIF5A 3.58570778174303e-25 83 89 1176 600
3.18851411060811 6.67120742952228 2.60936470682467e-29 NELFCD 3.65389339896658e-25 19 18 198 118
-6.69856934743463 5.34796622261247 2.62260602457083e-29 MIR17HG 3.67243521620654e-25 70 69 0 1
4.16654415621667 6.62806871556498 3.92847288808042e-29 MLST8 5.50104058517902e-25 10 9 225 104
3.40927752151145 6.42411093357313 4.30888034071141e-29 DHCR7 6.03372514109819e-25 14 13 156 110
-3.91303603071828 6.01522104572818 4.45714915975298e-29 ZNF330 6.24134596840209e-25 110 105 8 5
3.1778001320225 6.58246624294714 5.05889242586862e-29 CCDC47 7.08396706394383e-25 19 16 176 118
3.84460279807104 6.32609891034054 5.14197274984855e-29 INTS11 7.20030444161292e-25 9 10 141 111
-8.94635153049985 5.22157375622444 5.99358553523506e-29 AL390728.6 8.39281782498966e-25 71 57 0 0
2.87361673189724 7.7539069611056 6.303912910572e-29 RNPS1 8.82736924867397e-25 48 48 412 246
3.04026379736818 7.74032879222861 6.84481351778298e-29 CCNA2 9.58479236895151e-25 45 41 367 279
-5.1119799133413 6.75557051074229 9.38586750974026e-29 CD69 1.31430302738893e-24 157 219 7 3
3.45425471267233 6.35632277502138 1.0863988684661e-28 NSUN2 1.52128433551308e-24 13 12 148 106
9.66160070266716 5.85529866159042 1.08686468038898e-28 HIST2H2AA3 1.52193661194868e-24 0 0 144 58
6.36155074535806 6.21517807448736 1.15324900169661e-28 C4orf48 1.61489457707577e-24 1 2 186 73
6.04694769151556 6.26125012086883 1.34572945069318e-28 HSF1 1.88442494980566e-24 2 2 122 127
3.76593661376548 6.01573323501689 1.94725872132744e-28 RHOT2 2.72674638747481e-24 8 8 118 85
3.84078747883024 6.92171436838968 1.96164434079517e-28 C9orf16 2.74689057041547e-24 15 14 272 127
4.29530092188054 5.8523531645658 2.30595045148857e-28 SCARB1 3.22902241721944e-24 5 5 104 80
-3.06897088953103 6.8731071039806 2.49824389910672e-28 SAT1 3.49829093191914e-24 197 183 28 14
4.3592164286607 5.60890588497359 2.52128402759975e-28 PGP 3.53055402384792e-24 4 4 92 64
4.31568957929489 7.04401214466772 2.70786116256334e-28 ID3 3.79181798593745e-24 10 13 312 134
4.29296847597019 6.32084806149597 2.7108975332546e-28 DGCR6L 3.79606981581642e-24 6 8 179 86
3.09988769457652 7.28151675180836 3.64831105262895e-28 TMEM183A 5.10872996699631e-24 30 30 316 170
5.31073937744251 5.8612291489095 4.07098638321178e-28 CD320 5.70060223241145e-24 2 3 99 89
11.8564930801959 8.02803123944653 4.42008740813049e-28 AC116533.1 6.18944839760513e-24 0 0 784 192
3.6717330950328 5.93052226440808 5.9904628637749e-28 PYCR2 8.38844514814399e-24 8 8 114 77
4.59780677796318 5.83087878616548 6.7345429942255e-28 C7orf50 9.43038055481396e-24 4 4 125 63
3.90078964532497 7.92030435770995 8.41446202043312e-28 NDUFV1 1.17827711672125e-23 26 30 566 245
5.51297742399953 7.02286664578067 8.43060667875826e-28 GADD45GIP1 1.18053785322652e-23 5 5 337 121
-5.79395683585036 5.30788719387284 8.75606057140164e-28 CU634019.6 1.22611116181337e-23 68 66 1 1
4.88517207072427 5.70689952874189 8.85758315409794e-28 NOS3 1.24032736906834e-23 3 3 92 76
5.14827762251815 6.5237518341702 9.29782735421582e-28 MRPL4 1.30197476441084e-23 4 5 226 91
8.72112136097927 4.9437813399003 9.69780034944375e-28 TRABD 1.35798298293261e-23 0 0 60 41
4.7576048837786 6.95316841775785 9.77385693223025e-28 AAMP 1.3686331862202e-23 7 9 304 122
3.2328898176693 6.67381976966695 9.8664930818865e-28 SUMO3 1.38160502625657e-23 17 19 179 133
5.38389987069183 5.92908327731737 1.01367179725435e-27 SLC52A2 1.41944461769526e-23 2 3 102 95
3.57062694612029 6.21640495528345 1.10863040234934e-27 PLIN3 1.55241515240978e-23 11 10 152 84
3.94778405884918 6.69540987251185 1.25593615040213e-27 SURF4 1.75868739140811e-23 11 12 234 108
4.44348325021209 6.23657834874805 1.29515095627022e-27 TRMT2A 1.81359988406519e-23 6 6 127 113
-4.70051488854612 5.70014246976711 1.49231561872832e-27 RNF5 2.08968956090527e-23 85 90 3 3
-3.06238876209841 7.49697170195631 1.69141783387203e-27 MRPL33 2.368492392771e-23 287 302 44 22
-8.82210632970524 5.10654522610788 1.91978914658731e-27 AC109446.3 2.68828074196621e-23 56 61 0 0
3.27385634474328 7.12207907582961 2.17402613928173e-27 UBL4A 3.04428880283621e-23 20 28 246 182
-2.84677951775355 7.22895206698936 2.35270642052536e-27 NMT1 3.29449480066166e-23 255 226 40 22
2.89636602016069 7.30042333260843 2.8617942810003e-27 SLC3A2 4.00737053168472e-23 35 34 273 199
3.19289420825814 6.51511396827018 3.02068422312263e-27 EGLN2 4.22986411763863e-23 16 17 162 117
3.59952242103575 6.02759331116753 3.64112571170523e-27 RDH13 5.09866833410083e-23 10 8 118 85
4.27795546003308 6.49352295121778 4.23887519499299e-27 BNIP3 5.93569693554868e-23 8 8 208 93
-3.7295354839104 10.9728774255415 4.51811620131177e-27 GAGE1 6.32671811669687e-23 3366 3567 345 157
4.64244472620411 5.68916923889503 5.91327030655659e-27 PFKL 8.2803524102712e-23 3 4 91 74
6.65850346200629 6.88886651927048 6.64525169503609e-27 RPS7P1 9.30534594855903e-23 2 2 322 103
5.41523553629383 5.29761152589607 6.74466733760732e-27 GNL1 9.44455767285153e-23 2 1 71 56
3.04861262508556 7.0069422978367 6.81509058886948e-27 NAA10 9.54317135159394e-23 23 28 252 145
4.38765626465868 5.45630196784834 7.73611219736111e-27 ALKBH7 1.08328779099648e-22 3 4 83 57
4.13406832997734 5.83416108223195 7.97271229885502e-27 SYAP1 1.11641890320867e-22 6 5 121 64
-4.93830092798461 5.67543045485697 9.33501050041778e-27 NORAD 1.3071815203735e-22 101 73 3 2
4.65033994513171 6.03206181764583 9.60285222441195e-27 LETM1 1.34468739698441e-22 5 4 110 99
-2.93540911108862 9.38560984780813 1.02412997095099e-26 TMBIM6 1.43408919832267e-22 1200 1000 167 100
4.12567504883184 8.13261021730482 1.02524802637303e-26 POLR2E 1.43565481133016e-22 26 30 683 273
3.97994595185095 6.38226281989145 1.09152019213262e-26 METTL26 1.5284557250433e-22 7 11 183 90
3.99771200603189 5.93790232769403 1.11248829558489e-26 CCDC86 1.55781736030752e-22 7 6 108 85
3.37848250327931 7.43965889544132 1.17882944447606e-26 TBRG4 1.65071487109983e-22 24 32 369 187
3.95525967253266 5.67143462418103 1.62607880096182e-26 DDX49 2.27699814498684e-22 5 6 101 61
5.04500933951401 6.40301039037081 1.63122991849479e-26 NAPRT 2.28421125486825e-22 4 5 134 137
5.54042984675882 5.79744628010774 1.67534603225325e-26 MPG 2.34598704896423e-22 2 2 132 57
-8.66119208260178 4.95648337387626 1.68786130295466e-26 AL021807.1 2.36351218252742e-22 59 46 0 0
-3.25901968907772 7.28723946689577 1.71686675890349e-26 DDIT3 2.40412852249256e-22 281 237 38 13
4.38517620455145 5.7910327314006 1.74974802544543e-26 ARMC6 2.45017216003124e-22 4 5 97 79
-3.11067301054465 7.55349202620589 2.12567969942175e-26 NUDT5 2.97658928310027e-22 297 318 46 21
6.7585625705141 7.29047620390106 2.6218124042013e-26 RPL13AP5 3.67132390960308e-22 2 3 435 132
8.99533473080868 5.1965418732088 2.80828564985941e-26 DHRS13 3.93244239549813e-22 0 0 64 56
3.87056372463284 7.09179284800223 2.87055813092089e-26 GAL 4.01964255072852e-22 16 16 316 137
-3.06728558251011 7.77633040746735 3.09889411905482e-26 DPY30 4.33938143491246e-22 338 378 52 28
4.91354754436682 5.20017066333181 3.11557674738812e-26 AP1M1 4.36274211936759e-22 2 2 75 44
3.3652703856092 6.03322514891043 3.1426765931802e-26 RAB8A 4.40069003343023e-22 11 10 121 81
6.34874391866006 4.86481176963214 3.14442739171335e-26 E4F1 4.4031416766162e-22 1 0 60 35
6.11847420722825 6.32632639621364 3.211010094641e-26 LYL1 4.4963774355258e-22 2 2 121 138
2.79627336942739 6.94119970755154 3.51339548271418e-26 SLC38A5 4.91980769444467e-22 29 28 231 139
